subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,893.0,-3.569539464794684,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,4379.0,-3.582871928444769,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,4379.0,-3.583529350469385,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,4379.0,-3.584082013197688,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0005190372467041016
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,4379.0,-3.582764845771281,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,4379.0,-3.5825827642702737,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,344.0,-3.5590526637008884,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.578072299746677,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.002624034881591797
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.5645146872315805,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.012369871139526367
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.5716509543182764,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.008769035339355469
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0043010711669921875
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0004279613494873047
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,5.602836608886719e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0004029273986816406
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,5.507469177246094e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,3.0994415283203125e-05
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,125.0,-3.559994829355243,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0004119873046875
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.004664897918701172
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,593.0,-3.5573928738097376,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.009498119354248047
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.567799202729445,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0020029544830322266
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,593.0,-3.5465174636095744,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.011321067810058594
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,593.0,-3.5377021178118118,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.010661840438842773
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0029151439666748047
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.567461680074937,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0070400238037109375
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,593.0,-3.5510813953101974,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.012346029281616211
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.008621931076049805
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.566620638721891,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0001380443572998047
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.0075228214263916016
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.5586916287685377,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0036079883575439453
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.5671021631204307,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.009898185729980469
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.007526874542236328
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.570996457463215,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.002877950668334961
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,353.0,-3.5084155078703043,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.569793731017962,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.011304140090942383
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.006929874420166016
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.573434169822772,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0029289722442626953
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.007439136505126953
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.569170333608979,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.00391387939453125
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.567027984431685,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.01035618782043457
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.006846904754638672
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.562010792407655,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0031349658966064453
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,593.0,-3.5722192852163617,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.010448932647705078
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,353.0,-3.523862864190884,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.008187055587768555
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.561434994849167,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0030341148376464844
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.559835676157024,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.010349035263061523
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,3415565170.0,3194583231.0,443.0,42900.0,0.006935834884643555
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,833.0,-3.5712011082687445,-1.0,1.0,3194583231.0,3415565170.0,42900.0,443.0,0.0036721229553222656
