subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583070303853864,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.581500486389647,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583537373851212,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582713952433431,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5838852201142437,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583695880535245,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5831389932510613,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2414.0,-3.578931553513383,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.09884214401245117
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.1021575927734375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,2.384185791015625e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.0002410411834716797
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.600120544433594e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.0003180503845214844
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.409385681152344e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,1.9788742065429688e-05
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5830451299346056,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.4064311981201172
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5824193851280084,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.58258089806313,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583925143049419,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5824900540584586,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0005328655242919922
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.584530831236998,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582917569933676,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582098968042508,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5821081760834987,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.581343530590985,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.09817314147949219
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.698204040527344e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.3855438232421875e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.0994415283203125e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.0003590583801269531
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.602836608886719e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.1948089599609375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.0003790855407714844
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.698204040527344e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.504753112792969e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583152687876942,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,4.601478576660156e-05
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583342788447045,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583636541698143,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.58153936503383,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5842836116954526,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5816134163246187,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582904661225287,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5836388349683195,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5829769458742944,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583968549914271,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582310126616426,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0004279613494873047
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.58389444231566,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5837289183444776,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5829385072724387,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5835565674832703,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583385670402994,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.581420165465182,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.584081323541752,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5827632148213917,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583129927013041,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.09833288192749023
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.602836608886719e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.2901763916015625e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.0005621910095214844
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,5.602836608886719e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.2901763916015625e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.583430103435985,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0002949237823486328
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582869710812975,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5820729639310134,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5846506329277013,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.581795218996372,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.581576075013192,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1121.0,-3.5773572073883777,-1.0,1.0,3194583230.0,876214475.0,46843.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,0.00024509429931640625
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,4.506111145019531e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.1948089599609375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,876214475.0,3194583230.0,443.0,46843.0,3.504753112792969e-05
