subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4425.0,49153.0,0.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4425.0,0.0008678436279296875
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4425.0,49153.0,0.0016391277313232422
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,587.0,-3.265700409644814,-1.0,-1.0,3194548648.0,3194548678.0,4425.0,49153.0,8.20159912109375e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4425.0,0.002192974090576172
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,578.0,-3.357684920012315,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4425.0,0.0015749931335449219
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4425.0,7.700920104980469e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4425.0,49153.0,0.00121307373046875
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4425.0,49153.0,0.001172780990600586
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4425.0,0.002237081527709961
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4426.0,49153.0,0.00022411346435546875
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4426.0,0.0013699531555175781
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4426.0,49153.0,0.0011410713195800781
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,593.0,-3.269958751025844,-1.0,-1.0,3194548648.0,3194548678.0,4426.0,49153.0,0.00014495849609375
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4426.0,0.0019190311431884766
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,578.0,-3.357684920012315,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4426.0,0.0018439292907714844
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4426.0,7.891654968261719e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4426.0,49153.0,0.0009491443634033203
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4426.0,49153.0,0.001216888427734375
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4426.0,0.0006489753723144531
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,316.0,923.0,-3.321098263378753,-1.0,-1.0,3194548678.0,3194548648.0,3121.0,3222.0,0.23546195030212402
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,316.0,923.0,-3.321098263378753,-1.0,-1.0,3194548678.0,3194548648.0,3122.0,3222.0,7.700920104980469e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,0.03840017318725586
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,0.001046895980834961
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4432.0,49153.0,0.0013859272003173828
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,0.00015807151794433594
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,548.0,-3.293974279322127,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,0.0037851333618164062
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,0.0004229545593261719
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4432.0,49153.0,0.0021948814392089844
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,548.0,-3.293974279322127,-1.0,-1.0,3194548648.0,3194548678.0,4432.0,49153.0,6.103515625e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,0.002927064895629883
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,779.0,-3.293341034429372,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,5.984306335449219e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.277478193667739,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,6.222724914550781e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.2194084760253694,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,0.0003159046173095703
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,1382.0,-3.236950911337009,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,6.29425048828125e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,0.0059931278228759766
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,2.7894973754882812e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,5.602836608886719e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,0.0001480579376220703
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,779.0,-3.293341034429372,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,5.3882598876953125e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.277478193667739,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,0.000698089599609375
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.2194084760253694,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,6.29425048828125e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,1382.0,-3.236950911337009,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4432.0,3.695487976074219e-05
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4432.0,49153.0,0.00457000732421875
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4431.0,49153.0,0.0020360946655273438
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548648.0,3194548678.0,4432.0,49153.0,0.0017020702362060547
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548678.0,3194548648.0,49153.0,4431.0,0.0010559558868408203
