subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,72.0,191.0,-2.793028517909591,-1.0,-1.0,785059320.0,3194583190.0,8877.0,39931.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,72.0,191.0,-2.793028517909591,-1.0,-1.0,3194583190.0,785059320.0,39931.0,8877.0,0.004565000534057617
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,72.0,191.0,-2.964804587357904,-1.0,-1.0,3194583190.0,785059320.0,5040.0,1340.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,72.0,191.0,-2.6658685438469543,-1.0,-1.0,3194583190.0,815822880.0,5040.0,63373.0,0.0022249221801757812
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,144.0,407.0,-2.110979668392197,-1.0,-1.0,815822880.0,3194583190.0,63373.0,5040.0,0.08942294120788574
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.03490805625915527
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.0884699821472168
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0035469532012939453
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,383.0,-1.7390515757810696,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.009234189987182617
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,767.0,-0.9692471126407834,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.08801984786987305
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0034720897674560547
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34270.0,443.0,0.004909038543701172
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,815.0,-0.99925014936802,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.08308601379394531
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34270.0,0.004585981369018555
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34270.0,443.0,0.004913806915283203
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0036191940307617188
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,383.0,-1.6274729459800006,-1.0,1.0,3194583190.0,815822880.0,34270.0,443.0,0.002900838851928711
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,47.0,-1.3102312390642892,1.0,-1.0,815822880.0,3194583190.0,443.0,34270.0,0.08743500709533691
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583190.0,815822880.0,34270.0,443.0,0.006987094879150391
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,1535.0,-3.5581311731323613,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.07763886451721191
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5833894554095487,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.017503023147583008
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5791709803208005,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5818296485088603,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.00047898292541503906
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.580600030989697,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.012058019638061523
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5819375442285435,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0022420883178710938
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.07360196113586426
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.0004429817199707031
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,323.0,-3.568500536150229,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.002760171890258789
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5809940672869947,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.001294851303100586
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.582724903238629,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.007169008255004883
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5805451338268006,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.0031049251556396484
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.58246443487644,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.027717113494873047
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.5817711553682257,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0007510185241699219
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4235.0,-3.581474681357552,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0008630752563476562
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.04892992973327637
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,362.0,-3.4430238265617192,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.00333404541015625
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.00393986701965332
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.03132510185241699
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.045639991760253906
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.04976391792297363
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4082.0,-1.765671520179083,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.004173994064331055
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.13556313514709473
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,3497.0,-1.8859229221022888,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0053098201751708984
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.1352369785308838
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,2315.0,-1.918489407028981,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0033311843872070312
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.13733792304992676
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,2057.0,-1.652553127334893,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.0053501129150390625
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,815822880.0,3194583190.0,443.0,34269.0,0.13228082656860352
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,3257.0,-1.7227437626988875,-1.0,1.0,3194583190.0,815822880.0,34269.0,443.0,0.026996135711669922
