subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,20.0,101.0,-3.503813935144991,1.0,-1.0,751344198.0,3194559370.0,443.0,63516.0,0.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194559166.0,3194559370.0,44252.0,7.0,0.0021059513092041016
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,35.0,80.0,-2.566067408091305,-1.0,-1.0,3194559370.0,3714228252.0,60586.0,5355.0,0.029162168502807617
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,331.0,968.0,-2.101049784050667,1.0,1.0,3194559166.0,3194559370.0,67.0,68.0,0.0018057823181152344
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.739260270217832,-1.0,1.0,3194559370.0,3194559166.0,59230.0,53.0,0.07384920120239258
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.718852106952526,-1.0,1.0,3194559370.0,3194559166.0,63791.0,53.0,4.696846008300781e-05
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,57.0,146.0,-2.856032796578313,1.0,-1.0,3194559166.0,3194559370.0,53.0,59230.0,0.04493904113769531
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.734368673676232,-1.0,1.0,3194559370.0,3194559166.0,49576.0,53.0,0.020589828491210938
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.654308545630526,-1.0,1.0,3194559370.0,3194559166.0,61151.0,53.0,0.0007810592651367188
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,57.0,146.0,-2.8142713911446227,1.0,-1.0,3194559166.0,3194559370.0,53.0,61151.0,0.0052950382232666016
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194559370.0,751344198.0,63516.0,443.0,0.022328853607177734
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,49.0,122.0,-2.8293408829156057,-1.0,1.0,3194559370.0,3194559166.0,50339.0,53.0,0.06495308876037598
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,49.0,122.0,-2.8681248252608738,-1.0,1.0,3194559370.0,3194559166.0,54800.0,53.0,0.00018405914306640625
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.718852106952526,-1.0,1.0,3194559370.0,3194559166.0,63791.0,53.0,0.0007059574127197266
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,69.0,182.0,-2.6962410503637755,1.0,-1.0,3194559166.0,3194559370.0,53.0,49576.0,0.04677295684814453
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,69.0,182.0,-2.6926499710541885,1.0,-1.0,3194559166.0,3194559370.0,53.0,63791.0,0.0010211467742919922
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,147.0,416.0,-2.9993632684304337,1.0,-1.0,3194559166.0,3194559370.0,53.0,50339.0,0.0011949539184570312
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,188.0,539.0,-3.040762606074196,1.0,-1.0,3194559166.0,3194559370.0,53.0,54800.0,0.002518892288208008
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194559370.0,222516622.0,64022.0,80.0,0.0015621185302734375
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.037114858627319336
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,222516622.0,3194559370.0,80.0,64022.0,0.03599405288696289
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,20.0,0.0,0.0,-1.0,1.0,3194559370.0,222516622.0,64022.0,80.0,0.00015211105346679688
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,20.0,332.0,-3.2440919846305465,-1.0,1.0,3194559370.0,222516622.0,64022.0,80.0,0.011338949203491211
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,35.0,80.0,-2.566067408091305,-1.0,-1.0,3194559370.0,3714228252.0,60586.0,5355.0,0.039288997650146484
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,20.0,0.0,0.0,1.0,-1.0,222516622.0,3194559370.0,80.0,64022.0,0.031790971755981445
