subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,246.0,713.0,-3.50694294709803,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1040.0,3095.0,-3.5692643943131066,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-2.5773270128028267,-1.0,-1.0,909698898.0,3194583317.0,11392.0,17194.0,0.029841899871826172
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1040.0,3095.0,-3.577843375480961,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.018330097198486328
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,654.0,1937.0,-3.579542889630965,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,26.0,53.0,-2.826646053832073,-1.0,-1.0,909698898.0,3194583317.0,11392.0,17194.0,0.027826786041259766
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,290.0,845.0,-3.5378664030433327,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.02005314826965332
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,22.0,41.0,-2.703045363422114,-1.0,-1.0,909698898.0,3194583317.0,11392.0,17194.0,0.020454883575439453
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1040.0,3095.0,-3.5778574064198074,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.011697053909301758
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,639.0,1892.0,-3.5793927654592874,-1.0,-1.0,3194583317.0,909698898.0,17194.0,11392.0,0.0
