subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.080433580588445,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.0114680633470656,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,4.100799560546875e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,20.0,35.0,-3.391893436740001,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.0005321502685546875
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-2.9685331496285645,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.017448902130126953
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-2.9854374598241877,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.0003669261932373047
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.0114680633470656,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,2.5987625122070312e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,20.0,35.0,-3.327188793697419,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.0006802082061767578
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-2.9854374598241877,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.0196988582611084
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-2.968533149628565,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,5.507469177246094e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.080433580588445,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,3.1948089599609375e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.080433580588445,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,2.9087066650390625e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,20.0,35.0,-3.391893436740001,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.00780487060546875
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18.0,29.0,-3.0114680633470656,-1.0,-1.0,3304015106.0,3194583175.0,6488.0,16608.0,0.007502079010009766
