subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548691.0,3979595275.0,-1.0,-1.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548691.0,3714228315.0,-1.0,-1.0,0.13320708274841309
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,221.0,-3.504875479825061,-1.0,-1.0,3194548691.0,253443788.0,23596.0,5223.0,27.548027992248535
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,253443788.0,3194548691.0,5223.0,23596.0,0.20025205612182617
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,221.0,-3.5217066472590584,-1.0,-1.0,3194548691.0,253443788.0,23596.0,5223.0,89.5914568901062
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,253443788.0,3194548691.0,5223.0,23596.0,0.2001180648803711
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548691.0,3714228315.0,-1.0,-1.0,16.445817947387695
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,221.0,-3.518849091535691,-1.0,-1.0,3194548691.0,253443788.0,23596.0,5223.0,73.14031100273132
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,253443788.0,3194548691.0,5223.0,23596.0,0.20098400115966797
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548691.0,3714228315.0,-1.0,-1.0,52.791141986846924
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,221.0,-3.5500611597420724,-1.0,-1.0,3194548691.0,253443788.0,23596.0,5223.0,36.796795129776
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,253443788.0,3194548691.0,5223.0,23596.0,0.20015692710876465
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548691.0,3979595275.0,-1.0,-1.0,86.77120900154114
