subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,288.0,839.0,-1.7202979684533366,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548456.0,3194548647.0,-1.0,-1.0,2.2261199951171875
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.8150752261505625,1.0,1.0,3194548456.0,3194548647.0,67.0,68.0,0.00017189979553222656
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,300.0,875.0,-1.8114393119407104,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0012221336364746094
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.8209581440746705,1.0,1.0,3194548456.0,3194548647.0,67.0,68.0,0.002212047576904297
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548647.0,133173248.0,37164.0,53.0,1.6216850280761719
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157885.0,34167.0,80.0,0.00015687942504882812
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157879.0,47945.0,80.0,8.20159912109375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,1.0,-1.0,133173248.0,3194548647.0,53.0,37164.0,0.0008928775787353516
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,133173248.0,37164.0,53.0,0.0004971027374267578
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,133173248.0,37164.0,53.0,0.0016260147094726562
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,133173248.0,3194548647.0,53.0,37164.0,0.000904083251953125
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,133173248.0,3194548647.0,53.0,37164.0,6.699562072753906e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,133173248.0,37164.0,53.0,0.0005090236663818359
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,44.0,107.0,-3.4696584676590625,-1.0,-1.0,3194548647.0,830369129.0,59960.0,10240.0,0.0865468978881836
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,44.0,107.0,-3.4696584676590625,-1.0,-1.0,3194548647.0,2039113827.0,59960.0,10240.0,0.00018310546875
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,1.0,-1.0,1235157879.0,3194548647.0,80.0,47945.0,0.09938478469848633
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157879.0,47945.0,80.0,0.0005671977996826172
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157879.0,47945.0,80.0,0.00022101402282714844
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,228.0,659.0,-3.3704490673392207,-1.0,-1.0,2039113827.0,3194548647.0,10240.0,59960.0,0.030681848526000977
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,1.0,-1.0,1235157885.0,3194548647.0,80.0,34167.0,0.00634312629699707
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157885.0,34167.0,80.0,0.0005738735198974609
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157885.0,34167.0,80.0,0.0033159255981445312
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,228.0,659.0,-3.369546681199186,-1.0,-1.0,830369129.0,3194548647.0,10240.0,59960.0,0.07521605491638184
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,240.0,695.0,-3.408299207232409,-1.0,-1.0,3194548647.0,2904467440.0,59960.0,21047.0,0.004934072494506836
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,1991345147.0,59960.0,10001.0,0.000186920166015625
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,1908789439.0,59960.0,10001.0,0.00015211105346679688
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,396601057.0,59960.0,10001.0,0.0001430511474609375
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,829535227.0,59960.0,10001.0,0.0001308917999267578
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,829553054.0,59960.0,10001.0,0.0001270771026611328
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,829568823.0,59960.0,10001.0,0.00012683868408203125
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,24.0,47.0,-3.2730452470559674,-1.0,-1.0,3194548647.0,396601051.0,59960.0,10001.0,0.00016617774963378906
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1235157879.0,3194548647.0,80.0,47945.0,0.06833982467651367
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157879.0,47945.0,80.0,0.0013041496276855469
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1235157885.0,3194548647.0,80.0,34167.0,0.0775458812713623
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548647.0,1235157885.0,34167.0,80.0,0.0005791187286376953
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,40.0,95.0,-3.133663103650401,-1.0,-1.0,829535227.0,3194548647.0,10001.0,59960.0,0.06582784652709961
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,1991345147.0,59960.0,10001.0,0.009064197540283203
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,1908789439.0,59960.0,10001.0,0.0001049041748046875
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,396601057.0,59960.0,10001.0,7.605552673339844e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,829535227.0,59960.0,10001.0,6.699562072753906e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,829553054.0,59960.0,10001.0,6.29425048828125e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,829568823.0,59960.0,10001.0,6.103515625e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.48372268557223,-1.0,-1.0,3194548647.0,396601051.0,59960.0,10001.0,6.008148193359375e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,40.0,95.0,-3.173195983751941,-1.0,-1.0,829568823.0,3194548647.0,10001.0,59960.0,0.06464481353759766
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,40.0,95.0,-3.173195983751941,-1.0,-1.0,1991345147.0,3194548647.0,10001.0,59960.0,0.022758007049560547
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,40.0,95.0,-3.173195983751941,-1.0,-1.0,1908789439.0,3194548647.0,10001.0,59960.0,0.02902698516845703
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.464366126235386,-1.0,-1.0,829535227.0,3194548647.0,10001.0,59960.0,0.09844708442687988
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.471612595749812,-1.0,-1.0,829568823.0,3194548647.0,10001.0,59960.0,0.07277703285217285
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.471612595749812,-1.0,-1.0,1991345147.0,3194548647.0,10001.0,59960.0,0.02310800552368164
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,68.0,179.0,-3.471612595749812,-1.0,-1.0,1908789439.0,3194548647.0,10001.0,59960.0,0.029083967208862305
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,40.0,0.0,0.0,-1.0,-1.0,3194548647.0,771699669.0,51402.0,8000.0,2.1229240894317627
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548647.0,3659700477.0,58956.0,80.0,0.00013899803161621094
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194548647.0,830369129.0,48422.0,443.0,8.20159912109375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,24.0,0.0,0.0,1.0,-1.0,830369129.0,3194548647.0,443.0,48422.0,0.21633696556091309
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194548647.0,830369129.0,48422.0,443.0,0.0005450248718261719
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194548647.0,830369129.0,48422.0,443.0,0.0003879070281982422
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548647.0,3979595275.0,-1.0,-1.0,0.022550106048583984
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,24.0,0.0,0.0,-1.0,-1.0,771699669.0,3194548647.0,8000.0,51402.0,0.036540985107421875
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,20.0,0.0,0.0,-1.0,-1.0,3194548647.0,771699669.0,51402.0,8000.0,0.0005669593811035156
