subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,1729291619.0,55876.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,3198556359.0,39420.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,3198556359.0,39396.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3198556359.0,3194583310.0,443.0,39420.0,0.015850067138671875
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3198556359.0,3194583310.0,443.0,39396.0,4.982948303222656e-05
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,71.0,-3.365371549348966,1.0,-1.0,1729291619.0,3194583310.0,443.0,55876.0,0.006652116775512695
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,1729291619.0,3194583310.0,443.0,55876.0,3.790855407714844e-05
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,152.0,-3.274364218482001,1.0,-1.0,668496421.0,3194583310.0,443.0,34302.0,0.0034301280975341797
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,95.0,260.0,-2.9145844164513965,-1.0,-1.0,3194583310.0,3714228251.0,5353.0,5353.0,4.506111145019531e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,3198556359.0,39420.0,443.0,0.0009808540344238281
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,3198556359.0,39396.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194583310.0,1729291619.0,55876.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,1.0,3194583310.0,1729291619.0,55876.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3080.0,-3.5831385555916464,-1.0,1.0,3194583310.0,668496421.0,34302.0,443.0,0.016082048416137695
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5834043011761016,1.0,-1.0,668496421.0,3194583310.0,443.0,34302.0,0.11753010749816895
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,674.0,-3.5673673020851,1.0,-1.0,668496421.0,3194583310.0,443.0,34302.0,8.678436279296875e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34302.0,443.0,0.0018930435180664062
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,92.0,-3.518787311649687,-1.0,1.0,3194583310.0,668496421.0,34302.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34302.0,443.0,0.0007750988006591797
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.005024909973144531
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34302.0,0.08448314666748047
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34302.0,0.000823974609375
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34302.0,443.0,0.0014109611511230469
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.0019369125366210938
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0016911029815673828
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,641.0,-3.034662691928895,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0052318572998046875
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.4616390751474717,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.0903310775756836
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5007081751920794,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,6.29425048828125e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5164333810680515,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.00026106834411621094
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,608.0,-3.574372033039109,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,6.103515625e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0016598701477050781
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,377.0,-3.4928842837538068,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.010604143142700195
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,152.0,-3.269152644398522,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.08871102333068848
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3080.0,-3.583146463428376,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.11788797378540039
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5834672836363817,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.1349499225616455
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,866.0,-3.5767456655792444,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,9.202957153320312e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.011259078979492188
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,92.0,-3.455991860851034,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.05886983871459961
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,0.029508113861083984
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34312.0,5.793571472167969e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34312.0,443.0,0.014724969863891602
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,0.03814506530761719
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.009161949157714844
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,641.0,-3.0774358120090284,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0031080245971679688
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.461979229878876,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,0.08436703681945801
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5007081751920794,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,6.198883056640625e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5160416198382576,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,0.0002651214599609375
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,608.0,-3.568674385751585,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,6.079673767089844e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0020329952239990234
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,377.0,-3.51291653102176,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.010419130325317383
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,152.0,-3.228893797317653,1.0,-1.0,668496421.0,3194583310.0,443.0,34316.0,0.08266997337341309
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3416.0,-3.5834760922548647,-1.0,1.0,3194583310.0,668496421.0,34316.0,443.0,0.0030820369720458984
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,93.0,254.0,-2.994098788360669,-1.0,-1.0,3194583310.0,3714228251.0,5353.0,5353.0,0.10091900825500488
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,788.0,2339.0,-3.2114515027371717,-1.0,-1.0,3194583310.0,3714228251.0,5353.0,5353.0,0.013340950012207031
