subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,556.0,1643.0,-1.2949385201685342,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,556.0,1643.0,-1.3229192823527165,1.0,1.0,0.0,4244897280.0,68.0,67.0,3.400479793548584
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,38.0,89.0,-2.382692336216953,-1.0,1.0,3194548573.0,133173248.0,30000.0,53.0,0.27580904960632324
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,38.0,89.0,-2.382692336216953,-1.0,1.0,3194548573.0,3194548456.0,30000.0,53.0,0.003947019577026367
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,43.0,104.0,-2.6189320429679785,-1.0,1.0,3194548573.0,133173248.0,30001.0,53.0,0.0016779899597167969
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,43.0,104.0,-2.6189320429679785,-1.0,1.0,3194548573.0,3194548456.0,30001.0,53.0,0.001589059829711914
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,102.0,281.0,-2.6864843312729687,1.0,-1.0,133173248.0,3194548573.0,53.0,30000.0,0.0746009349822998
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,83.0,224.0,-2.773340927479008,1.0,-1.0,3194548456.0,3194548573.0,53.0,30001.0,7.605552673339844e-05
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,508.0,1499.0,-2.765642748590312,1.0,-1.0,3194548456.0,3194548573.0,53.0,30000.0,3.695487976074219e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,56.0,143.0,-1.7833900493348145,-1.0,1.0,3194548573.0,986460577.0,48999.0,123.0,0.004900932312011719
