subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3131.0,-3.584158781218138,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0022268295288085938
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,221.0,-3.523312738306025,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.03194618225097656
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.018065929412841797
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,413.0,-3.554331334010017,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.016782045364379883
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.04872298240661621
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1499.0,-3.5790372970012507,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.008147954940795898
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.048948049545288086
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3035.0,-3.578139089127014,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.014014005661010742
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,221.0,-3.523018183349264,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.008831977844238281
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,443.0,-3.5361476655790494,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,2.8848648071289062e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.0403900146484375
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.008291006088256836
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1001.0,-3.568184880513277,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0025429725646972656
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.04880523681640625
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1037.0,-3.569843864730201,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.002374887466430664
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,221.0,-3.5340289854560414,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.043016910552978516
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.582493929773942,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.016892194747924805
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583849679246247,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.02236795425415039
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5834943094946303,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5836321397320017,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0013120174407958984
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.025516033172607422
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583044929045377,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.02086186408996582
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5817057805143038,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.58136795577266,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0005350112915039062
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.584507691016612,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5835235043100764,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5825990127740006,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5815406683468063,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0006780624389648438
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5821230815037013,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,571781299.0,3194583160.0,443.0,41717.0,0.00017786026000976562
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5813640483929525,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.004830121994018555
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5817211166798577,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5817381244419377,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583914459435208,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583077053323431,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0006618499755859375
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5822884579098044,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5816508217532226,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.582261823322425,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.00156402587890625
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583793346581486,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.008723020553588867
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.58287582238941,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.582114988789989,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0006611347198486328
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.583728680661246,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0005409717559814453
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,4223.0,-3.5826733776168527,-1.0,1.0,3194583160.0,571781299.0,41717.0,443.0,0.0
