subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,40.0,95.0,-2.510331135374454,-1.0,1.0,3194583297.0,133173248.0,50721.0,53.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,56.0,143.0,-2.742443927765821,1.0,-1.0,133173248.0,3194583297.0,53.0,50721.0,0.026298999786376953
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5825504217470456,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.011609077453613281
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5808713082232586,1.0,-1.0,2866107184.0,3194583297.0,443.0,48668.0,0.049594879150390625
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5823152958684843,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.014037132263183594
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.583389279198776,1.0,-1.0,2866107184.0,3194583297.0,443.0,48668.0,0.04890584945678711
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.581815502376148,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.024940967559814453
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,41.0,98.0,-3.4049420760639,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.005563020706176758
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,302.0,881.0,-3.5750512107685384,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,114.0,317.0,-3.539871856271477,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,106.0,293.0,-3.547362472800798,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0032989978790283203
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,112.0,311.0,-3.553780366727723,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,112.0,311.0,-3.5507365763302285,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.002894163131713867
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,106.0,293.0,-3.561355941929466,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.584170369437453,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.581039473950708,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0007920265197753906
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.584235432835252,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5831187842271763,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5833886806952897,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0005888938903808594
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5820148922545774,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.583190640139964,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.004528045654296875
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5800518529930283,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.582325008985189,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5837305992448694,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0004439353942871094
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1356.0,4043.0,-3.582792722027004,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5838711456013868,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.002775907516479492
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.582058732868846,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.582374598486063,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.58415183859169,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0005240440368652344
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.581230312954923,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.583474063891366,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0012781620025634766
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.583242133090593,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.582422293515795,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5829468210848723,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0005819797515869141
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.583592990724514,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.006029844284057617
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5839418791567623,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5845367739086065,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5836274684166405,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1358.0,4049.0,-3.5833906376858224,-1.0,1.0,3194583297.0,2866107184.0,48668.0,443.0,0.0006000995635986328
