subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,428.0,1259.0,-3.573980677693779,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.56793092811888,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.04384016990661621
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,348.0,1019.0,-3.5750537101025768,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.0791318416595459
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,764.0,2267.0,-3.583856450317451,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.003056049346923828
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.5592385870536813,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.561267855675679,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.013554096221923828
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.5355982259500687,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.003064870834350586
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.567027264116573,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,5.507469177246094e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,444.0,1307.0,-3.5784770644554587,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.45934200286865234
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.563986436387561,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.008944988250732422
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,348.0,1019.0,-3.575045924572024,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.11754703521728516
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,508.0,1499.0,-3.578824516759418,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.011221885681152344
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.572412544025108,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.0005140304565429688
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.5368536259551298,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.0048370361328125
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.567154860369299,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.011236906051635742
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.57824480715358,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,5.507469177246094e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,444.0,1307.0,-3.578407706994849,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.03543901443481445
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.555559101319016,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.002891063690185547
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,348.0,1019.0,-3.57990330834355,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.07186698913574219
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,508.0,1499.0,-3.581844377934491,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.0026090145111083984
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.5697779807291594,-1.0,-1.0,3194583351.0,2357477877.0,49789.0,4500.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,108.0,299.0,-3.5617670960784893,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,0.016626834869384766
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,444.0,1307.0,-3.579384023390771,-1.0,-1.0,2357477877.0,3194583351.0,4500.0,49789.0,1.9097092151641846
