subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,217.0,626.0,-2.852600615320513,1.0,1.0,3194548632.0,3194548710.0,138.0,138.0,0.0
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,223.0,644.0,-2.7765560695968547,1.0,1.0,3194548632.0,3194548710.0,138.0,138.0,0.0005741119384765625
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,76.0,203.0,-2.776357465764903,1.0,1.0,3194548632.0,2105834626.0,137.0,137.0,60.068448066711426
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,76.0,203.0,-2.732596335877573,1.0,1.0,3194548632.0,2105834626.0,137.0,137.0,0.0018529891967773438
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,76.0,203.0,-2.759155697921688,1.0,1.0,3194548632.0,2105834626.0,137.0,137.0,7.891654968261719e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,76.0,203.0,-2.735596543272195,1.0,1.0,3194548632.0,2105834626.0,137.0,137.0,4.410743713378906e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,76.0,203.0,-2.75727409290252,1.0,1.0,3194548632.0,2105834626.0,137.0,137.0,4.291534423828125e-05
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.8369006040926026,-1.0,1.0,3194548632.0,3194548456.0,39729.0,53.0,153.1706259250641
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,114.0,317.0,-3.0064658247925182,1.0,-1.0,3194548456.0,3194548632.0,53.0,39729.0,0.0031599998474121094
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.8369006040926026,-1.0,1.0,3194548632.0,3194548456.0,39729.0,53.0,5.006653070449829
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.902254862019757,1.0,-1.0,3194548456.0,3194548632.0,53.0,39729.0,0.0005168914794921875
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,46.0,113.0,-2.843864107459831,-1.0,1.0,3194548632.0,3194548456.0,46236.0,53.0,0.0016071796417236328
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,46.0,113.0,-2.922027278736857,1.0,-1.0,3194548456.0,3194548632.0,53.0,46236.0,0.00033402442932128906
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,44.0,107.0,-2.7312563601546915,-1.0,1.0,3194548632.0,3194548456.0,51424.0,53.0,0.0012259483337402344
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,119.0,332.0,-3.057164211194482,1.0,-1.0,3194548456.0,3194548632.0,53.0,51424.0,0.0060498714447021484
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,48.0,119.0,-2.88989445779116,-1.0,1.0,3194548632.0,3194548456.0,36924.0,53.0,0.0020079612731933594
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,48.0,119.0,-2.961351605424857,1.0,-1.0,3194548456.0,3194548632.0,53.0,36924.0,0.0005121231079101562
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7180012003585703,-1.0,1.0,3194548632.0,3194548456.0,41637.0,53.0,0.001789093017578125
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.838600814243132,1.0,-1.0,3194548456.0,3194548632.0,53.0,41637.0,0.0003008842468261719
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194548632.0,2920397014.0,59419.0,443.0,0.003919124603271484
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,1.0,-1.0,2920397014.0,3194548632.0,443.0,59419.0,0.3102247714996338
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194548632.0,2920397014.0,59419.0,443.0,0.056214094161987305
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1025.0,-2.9109043861894603,-1.0,1.0,3194548632.0,2920397014.0,59419.0,443.0,0.0025069713592529297
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,2920397014.0,3194548632.0,443.0,59419.0,0.3104381561279297
