subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.2978489398956299
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548694.0,3366363843.0,59765.0,80.0,14.422205924987793
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548694.0,3366363842.0,47145.0,80.0,0.15468716621398926
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548694.0,3366363843.0,52651.0,80.0,0.00032401084899902344
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,10.564791917800903
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.29773902893066406
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,107.0,-3.270565300287039,-1.0,1.0,3194548694.0,1734488682.0,54693.0,443.0,11.89876103401184
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,1734488682.0,3194548694.0,443.0,54693.0,0.17319798469543457
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,107.0,-3.270565300287039,-1.0,1.0,3194548694.0,1734488682.0,54693.0,443.0,0.2301619052886963
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,44.0,0.0,0.0,1.0,-1.0,1734488682.0,3194548694.0,443.0,54693.0,0.1729450225830078
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,12.826961040496826
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.29775309562683105
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,2.363318920135498
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,0.11813187599182129
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,1.2308640480041504
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.29809093475341797
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,20.0,152.0,-3.2288235449391887,-1.0,-1.0,3194548694.0,1853978777.0,56709.0,5222.0,12.76761507987976
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,20.0,122.0,-3.1006827557078878,-1.0,-1.0,1853978777.0,3194548694.0,5222.0,56709.0,0.3003959655761719
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,20.0,0.0,0.0,-1.0,-1.0,3194548694.0,1853978777.0,56709.0,5222.0,0.7628860473632812
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,11.543741941452026
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.29787516593933105
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,107.0,-3.1716436440578595,-1.0,1.0,3194548694.0,1734488682.0,54693.0,443.0,1.6220548152923584
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,1734488682.0,3194548694.0,443.0,54693.0,0.1731710433959961
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,23.266000986099243
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.2978990077972412
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,7.738331079483032
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,0.7307400703430176
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,107.0,-3.2475650656546136,-1.0,1.0,3194548694.0,1734488682.0,54693.0,443.0,12.794768810272217
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,1734488682.0,3194548694.0,443.0,54693.0,0.17318320274353027
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,4.2626378536224365
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.29795098304748535
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548694.0,769580644.0,37796.0,5228.0,25.14192295074463
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548694.0,5228.0,37796.0,0.2977030277252197
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,107.0,-3.2414630364599075,-1.0,1.0,3194548694.0,1734488682.0,54693.0,443.0,14.827773094177246
