subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,68.0,-3.371126745012864,-1.0,1.0,3194548461.0,2866112992.0,57556.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,68.0,-3.371126745012864,-1.0,1.0,3194548461.0,2866112992.0,57556.0,443.0,5.0067901611328125e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,2866112992.0,3194548461.0,443.0,57556.0,0.0012428760528564453
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,20.0,0.0,0.0,1.0,-1.0,2866112992.0,3194548461.0,443.0,57556.0,5.0067901611328125e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1647210249.0,3194548461.0,80.0,56989.0,56.67996001243591
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1647210249.0,3194548461.0,80.0,56989.0,1.1920928955078125e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548461.0,1647210249.0,56989.0,80.0,0.10668420791625977
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548461.0,1647210249.0,56989.0,80.0,1.2874603271484375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3585399779.0,3194548461.0,443.0,42867.0,3.8837571144104004
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3585399779.0,3194548461.0,443.0,42867.0,1.1920928955078125e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194548461.0,3585399779.0,42867.0,443.0,0.10692691802978516
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194548461.0,3585399779.0,42867.0,443.0,1.2159347534179688e-05
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,164.0,-3.524976596309303,1.0,-1.0,3585399779.0,3194548461.0,443.0,45199.0,0.3305490016937256
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,164.0,-3.524976596309303,1.0,-1.0,3585399779.0,3194548461.0,443.0,45199.0,1.2874603271484375e-05
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3585399779.0,3194548461.0,443.0,45199.0,5.0067901611328125e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3585399779.0,3194548461.0,443.0,45199.0,4.0531158447265625e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,3585399779.0,3194548461.0,443.0,45199.0,0.05043292045593262
