subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.58202653950039,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,842.0,-3.575948629084532,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,6.198883056640625e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.002138853073120117
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,116.0,-3.187305777948967,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.010370016098022461
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,929.0,-3.567912985661305,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0008921623229980469
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,116.0,-3.284438556498215,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.008105993270874023
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.5840110889338965,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0020339488983154297
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2237.0,-3.583333071856547,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0005898475646972656
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,0.018121004104614258
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,0.010619163513183594
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,0.03968691825866699
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.584073728885095,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,0.6728339195251465
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1496.0,-3.5811444152167167,1.0,-1.0,579342988.0,3194583148.0,443.0,33016.0,6.413459777832031e-05
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0018508434295654297
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,116.0,-3.29738877954788,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.022043228149414062
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,40.0,0.0,0.0,-1.0,1.0,3194583148.0,230236822.0,47936.0,443.0,0.00061798095703125
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,929.0,-3.5717649768306416,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,116.0,-3.262636151976987,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.005455970764160156
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4343.0,-3.582411059094757,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0006499290466308594
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2357.0,-3.580115942195445,-1.0,1.0,3194583148.0,579342988.0,33016.0,443.0,0.0
