subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.529844445144392,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5417593710372506,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.25232386589050293
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0024449825286865234
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.542120351004256,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82846999168396
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.522500835236717,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.24568796157836914
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.542120351004256,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.2946290969848633
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.522500835236717,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.21087908744812012
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0008528232574462891
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,44.0,0.0,0.0,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.03991198539733887
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5420497312583468,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.80587911605835
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.24342608451843262
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.517276453394212,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.00033593177795410156
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002341032028198242
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.544909553792165,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.83444595336914
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5288302238375104,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.25111889839172363
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002523183822631836
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.541878553271079,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82683086395264
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.507442237243905,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2500901222229004
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002502918243408203
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.54527844517052,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82808709144592
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5569498302446445,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.250518798828125
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002535104751586914
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.547811139135709,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82743000984192
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.507437554290156,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2512378692626953
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0024530887603759766
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5279424582877548,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.8189160823822
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.529072558003341,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2528648376464844
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0025811195373535156
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.6720450186078346,-1.0,1.0,3194548682.0,3194548456.0,52496.0,53.0,47.34418702125549
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,495.0,1460.0,-2.820249466619593,1.0,-1.0,3194548456.0,3194548682.0,53.0,52496.0,0.10749387741088867
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.651636855342529,-1.0,1.0,3194548682.0,3194548456.0,42066.0,53.0,9.904175043106079
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,105.0,290.0,-2.783054736191506,1.0,-1.0,3194548456.0,3194548682.0,53.0,42066.0,0.0003790855407714844
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,56.0,143.0,-1.999434841423536,-1.0,1.0,3194548682.0,2155262801.0,38044.0,123.0,0.0010800361633300781
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,56.0,143.0,-3.409798731880515,1.0,-1.0,2155262801.0,3194548682.0,123.0,38044.0,0.18481898307800293
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.563570285706556,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,178.2829270362854
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5414542731737235,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.25272583961486816
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5414542731737235,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.378525972366333
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0010170936584472656
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5650082677941786,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.86431407928467
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5339465633632625,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.24890398979187012
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0023539066314697266
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5480812874080137,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.72559905052185
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.518749299992166,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2526378631591797
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002515077590942383
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.513489461273099,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.72101092338562
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.514197223855225,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.25038909912109375
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0014460086822509766
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5450493106852186,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.7246708869934
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5663692541731167,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.24910521507263184
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.002541780471801758
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.519247720293026,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82877922058105
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5579697576368243,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2534759044647217
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0024139881134033203
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.558344366401145,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.8245849609375
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5538624222966475,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2527649402618408
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.5538624222966475,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.3602161407470703
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.0011439323425292969
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.534744771991197,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,233.66636610031128
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,206.0,-3.533595632968203,-1.0,-1.0,876552999.0,3194548682.0,50443.0,38677.0,0.2521238327026367
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.003183126449584961
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5441962824038447,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,235.82515001296997
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,317.0,-3.5441962824038447,-1.0,-1.0,3194548682.0,876552999.0,38677.0,50443.0,0.855043888092041
