subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,11.0,-1.9362600275315276,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.00012302398681640625
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,5.0,-1.9219280948873625,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.29810380935668945
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.09029412269592285
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,60.29765605926514
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.13512587547302246
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,60.29794192314148
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,11.0,-1.9362600275315276,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.12766504287719727
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.00011515617370605469
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,5.0,-1.9219280948873625,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.29804396629333496
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.0839529037475586
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.6025317890140784,-1.0,1.0,3194548575.0,3194548456.0,37616.0,53.0,57.04880213737488
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,57.0,146.0,-2.746039513981325,1.0,-1.0,3194548456.0,3194548575.0,53.0,37616.0,0.0003368854522705078
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,2456.0,-3.2960140028152107,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.011630058288574219
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,2279.0,-3.2200565851810032,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.30011796951293945
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.1887650489807129
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,3128037466.0,57244.0,8090.0,29.53876805305481
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3128037466.0,3194548575.0,8090.0,57244.0,0.2989318370819092
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,30.460031986236572
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.14078497886657715
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,60.29820418357849
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,11.0,-1.9362600275315276,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.1302509307861328
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.00011706352233886719
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,5.0,-1.9219280948873625,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.2980508804321289
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.07795095443725586
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,60.29763698577881
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.13654708862304688
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,60.29744505882263
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,11.0,-1.9362600275315276,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.11968493461608887
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.00011801719665527344
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,5.0,-1.9219280948873625,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.29801201820373535
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.0937039852142334
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,41.0,98.0,-2.6025317890140784,-1.0,1.0,3194548575.0,3194548456.0,37616.0,53.0,56.999451875686646
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,57.0,146.0,-2.7733776468207774,1.0,-1.0,3194548456.0,3194548575.0,53.0,37616.0,0.00033020973205566406
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,2456.0,-3.295868694513272,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.01090097427368164
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,2279.0,-3.2204447952980457,-1.0,-1.0,769580644.0,3194548575.0,5228.0,40234.0,0.3003578186035156
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,769580644.0,40234.0,5228.0,0.03370213508605957
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548575.0,3128037466.0,57244.0,8090.0,28.695379972457886
