subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,35.0,80.0,-2.579958794426632,-1.0,-1.0,3194559370.0,3714228252.0,64946.0,5355.0,0.002447843551635742
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,331.0,968.0,-2.0978939676459483,1.0,1.0,3194559166.0,3194559370.0,67.0,68.0,0.011038064956665039
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,49.0,122.0,-2.7903663951929545,-1.0,1.0,3194559370.0,3194559166.0,59299.0,53.0,0.1446700096130371
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,49.0,122.0,-2.8422128624843968,-1.0,1.0,3194559370.0,3194559166.0,64460.0,53.0,0.00040793418884277344
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,147.0,416.0,-2.9671632582405154,1.0,-1.0,3194559166.0,3194559370.0,53.0,59299.0,0.03619503974914551
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,188.0,539.0,-3.038479774949827,1.0,-1.0,3194559166.0,3194559370.0,53.0,64460.0,0.002775907516479492
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194559370.0,222516622.0,53056.0,80.0,0.00820612907409668
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.1507880687713623
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,35.0,80.0,-2.579958794426632,-1.0,-1.0,3194559370.0,3714228252.0,64946.0,5355.0,0.05206298828125
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,3194559370.0,86952165.0,53057.0,443.0,0.031575918197631836
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,30.0,65.0,-2.0858293170405005,-1.0,-1.0,3194559370.0,3714228252.0,49348.0,5355.0,0.21414995193481445
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,30.0,65.0,-2.2247585253981947,-1.0,-1.0,3194559370.0,3714228252.0,57784.0,5355.0,0.0008730888366699219
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194559370.0,815379156.0,53058.0,80.0,0.0251309871673584
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.1341700553894043
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.0006608963012695312
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,35.0,80.0,-2.630094401109085,-1.0,-1.0,3194559370.0,3714228252.0,49914.0,5355.0,0.0019800662994384766
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194559370.0,3714228022.0,-1.0,-1.0,0.028301000595092773
