subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,0.0003521442413330078
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,1.3501498699188232
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.29990506172180176
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,8.653541088104248
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,0.00024890899658203125
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,1.3471379280090332
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.29991817474365234
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,8.656939029693604
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,0.00028395652770996094
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,1.3437528610229492
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.29996705055236816
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,8.660084009170532
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,0.00025010108947753906
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,1.340566873550415
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.29996204376220703
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,8.663116931915283
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,0.00024700164794921875
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3194548621.0,3520682081.0,37802.0,1935.0,1.337557077407837
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,3520682081.0,3194548621.0,1935.0,37802.0,0.299915075302124
