subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.5385016469378805,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.5385016469378805,1.0,1.0,0.0,4244897280.0,68.0,67.0,1.6800949573516846
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548456.0,3194548693.0,-1.0,-1.0,0.9562849998474121
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.77664807514129,1.0,1.0,3194548456.0,3194548693.0,67.0,68.0,0.00020694732666015625
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.77664807514129,1.0,1.0,3194548456.0,3194548693.0,67.0,68.0,0.0016260147094726562
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.663155427191635,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.032305002212524414
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.7721222123695377,1.0,1.0,3194548456.0,3194548693.0,67.0,68.0,0.0018339157104492188
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,46.0,113.0,-2.6737935020081585,-1.0,1.0,3194548693.0,3194548456.0,49153.0,53.0,0.5433349609375
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,251.0,728.0,-2.9948598719317605,1.0,-1.0,3194548456.0,3194548693.0,53.0,49153.0,0.28061509132385254
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,24.0,0.0,0.0,-1.0,1.0,3194548693.0,1477724130.0,49153.0,80.0,0.01272892951965332
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,24.0,0.0,0.0,1.0,-1.0,1477724130.0,3194548693.0,80.0,49153.0,0.27524518966674805
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,20.0,0.0,0.0,-1.0,1.0,3194548693.0,1477724130.0,49153.0,80.0,0.011607885360717773
