subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.774707337569135,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548456.0,3194548611.0,-1.0,-1.0,2.7545530796051025
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.7993172662422343,1.0,1.0,3194548456.0,3194548611.0,67.0,68.0,0.00021004676818847656
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,310.0,905.0,-1.8846260691942007,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.035507917404174805
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,315.0,920.0,-1.9063838264188675,1.0,1.0,3194548456.0,3194548611.0,67.0,68.0,0.0020110607147216797
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,175.0,500.0,-3.197860990391782,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.6662580966949463
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,312.0,911.0,-3.088795551671028,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.004189014434814453
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,312.0,911.0,-3.088795551671028,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.23754596710205078
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,46.0,113.0,-2.7758961424043207,-1.0,1.0,3194548611.0,3194548456.0,40910.0,53.0,0.09536004066467285
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,312.0,911.0,-3.088795551671028,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.16532683372497559
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,251.0,728.0,-2.983848274741255,1.0,-1.0,3194548456.0,3194548611.0,53.0,40910.0,0.11875009536743164
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.02508401870727539
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,232.0,671.0,-3.1703441692850034,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.06492900848388672
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,90.0,245.0,-2.917159899022733,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.0027108192443847656
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,1.0,-1.0,1477724130.0,3194548611.0,80.0,59464.0,0.20765113830566406
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.0020570755004882812
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,548.0,-3.2828791466585594,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.024901866912841797
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,175.0,500.0,-3.197860990391782,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.014601945877075195
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,1313.0,-3.3090008212899247,1.0,-1.0,1477724130.0,3194548611.0,80.0,59464.0,0.26724815368652344
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.0023758411407470703
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.0028390884399414062
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,46.0,113.0,-2.8294002018323123,-1.0,1.0,3194548611.0,3194548456.0,38616.0,53.0,0.16045188903808594
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,62.0,161.0,-2.9005099456208265,1.0,-1.0,3194548456.0,3194548611.0,53.0,38616.0,0.00032901763916015625
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59465.0,80.0,0.01992011070251465
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1477724130.0,3194548611.0,80.0,59464.0,0.09444093704223633
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59464.0,80.0,0.0020411014556884766
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,0.0,0.0,1.0,-1.0,1477724130.0,3194548611.0,80.0,59465.0,0.17864990234375
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59465.0,80.0,0.003142118453979492
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,866.0,-3.227329542223332,-1.0,1.0,3194548611.0,1477724130.0,59465.0,80.0,0.0004818439483642578
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,220.0,635.0,-3.141080330487225,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.00454401969909668
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,102.0,281.0,-3.0380441322675864,-1.0,-1.0,3194548611.0,3714228251.0,5353.0,5353.0,0.04924297332763672
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,1477724130.0,3194548611.0,80.0,59465.0,0.25972700119018555
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,2255.0,-3.281114231817181,1.0,-1.0,1477724130.0,3194548611.0,80.0,59465.0,0.03017115592956543
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548611.0,1477724130.0,59465.0,80.0,0.0025148391723632812
