subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,316.0,923.0,-1.3771700160206153,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,316.0,923.0,-1.3771700160206153,1.0,1.0,0.0,4244897280.0,68.0,67.0,1.8993480205535889
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.7794842999259866,1.0,1.0,3194548456.0,3194548618.0,67.0,68.0,1.093149185180664
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.7794842999259866,1.0,1.0,3194548456.0,3194548618.0,67.0,68.0,0.0009398460388183594
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,316.0,923.0,-1.6506308914833083,1.0,1.0,0.0,4244897280.0,68.0,67.0,0.0037050247192382812
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,308.0,899.0,-1.7798897815462318,1.0,1.0,3194548456.0,3194548618.0,67.0,68.0,0.0022399425506591797
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,435.0,1280.0,-3.1757722030537927,-1.0,-1.0,3194548618.0,3714228251.0,5353.0,5353.0,1.561570167541504
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548618.0,3714228251.0,-1.0,-1.0,0.23527789115905762
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,435.0,1280.0,-3.1757722030537927,-1.0,-1.0,3194548618.0,3714228251.0,5353.0,5353.0,0.33925294876098633
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.613336963235544,-1.0,1.0,3194548618.0,3194548456.0,49153.0,53.0,0.3630831241607666
