subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4214.0,-3.583939357033027,-1.0,1.0,16654973.0,16751368.0,41319.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,278.0,-3.5631147535147045,-1.0,1.0,16652483.0,16719523.0,9341.0,443.0,2.0000006770715117e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16732922.0,16710908.0,443.0,22794.0,2.0000006770715117e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4214.0,-3.5838267433093467,-1.0,1.0,16664685.0,16731605.0,65486.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,197.0,-3.5435434443962173,-1.0,1.0,16657077.0,16744414.0,14880.0,443.0,1.0000003385357559e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,197.0,-3.51147913956507,-1.0,1.0,16704866.0,16734380.0,62146.0,443.0,1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16663313.0,16776299.0,1827.0,443.0,3.999997716164216e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2507.0,-3.580944420681516,1.0,-1.0,16771062.0,16704089.0,443.0,25241.0,1.0000003385357559e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,197.0,-3.5192363693854385,-1.0,1.0,16681098.0,16773436.0,19437.0,443.0,1.0000003385357559e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16729210.0,16662179.0,443.0,19066.0,3.0000010156072676e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4214.0,-3.583158426789619,-1.0,1.0,16704532.0,16735954.0,55533.0,443.0,1.0000003385357559e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,194.0,-3.5382593316939768,-1.0,1.0,16702980.0,16740428.0,51830.0,443.0,1.0000003385357559e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16751368.0,16654973.0,443.0,41319.0,1.9999970390927047e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4214.0,-3.5831515567464414,-1.0,1.0,16659589.0,16726719.0,36027.0,443.0,1.0000003385357559e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4043.0,-3.582878114058885,1.0,-1.0,16731797.0,16664771.0,443.0,59551.0,5.000001692678779e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4043.0,-3.5834470676495664,1.0,-1.0,16726955.0,16659959.0,443.0,36268.0,3.0000010156072676e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1238.0,-3.5797587495178957,1.0,-1.0,16729754.0,16662630.0,443.0,19613.0,1.0000003385357559e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4214.0,-3.5838479678571016,-1.0,1.0,16700720.0,16767699.0,57708.0,443.0,2.9999973776284605e-06
