subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.582341480455301,-1.0,-1.0,16685654.0,16725078.0,17225.0,51825.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,36.0,0.0,0.0,-1.0,-1.0,16702500.0,16762381.0,32257.0,25235.0,2.0000006770715117e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,-1.0,16704757.0,16771644.0,61137.0,56937.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.5834875988131936,-1.0,-1.0,16728607.0,16661739.0,56937.0,1552.0,-1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,3599.0,-3.582706113269179,-1.0,-1.0,16687793.0,16719006.0,11063.0,51825.0,1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16699543.0,16738924.0,56494.0,21.0,1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,44.0,107.0,-2.768008073659294,-1.0,1.0,16647112.0,16756325.0,46624.0,53.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,2258.0,-3.2044670942938467,-1.0,-1.0,16723699.0,16686344.0,53904.0,14367.0,-1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,4343.0,-3.583179522561345,-1.0,-1.0,16685654.0,16725078.0,17225.0,51825.0,1.0000003385357559e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16694011.0,16717105.0,6925.0,21.0,1.0000003385357559e-06
