subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,4343.0,-3.479658447223376,1.0,-1.0,16757180.0,16703485.0,80.0,3112.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16764923.0,16670334.0,443.0,27268.0,9.999785106629133e-07
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,290.0,-3.559583078078344,1.0,-1.0,16757180.0,16703485.0,80.0,3112.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16737310.0,16671238.0,443.0,54842.0,1.00000761449337e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.572805436197667,1.0,-1.0,16767611.0,16670250.0,443.0,57618.0,2.00001522898674e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16679150.0,16769841.0,59853.0,80.0,4.0000013541430235e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16714555.0,16694380.0,443.0,4358.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16646923.0,16758125.0,46383.0,443.0,2.9999937396496534e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.575888503374937,1.0,-1.0,16738282.0,16700532.0,443.0,57874.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16719795.0,16653687.0,443.0,9615.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3641.0,-3.5809528170765166,1.0,-1.0,16754828.0,16690760.0,443.0,8944.0,4.0000013541430235e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16772443.0,16667391.0,443.0,60419.0,9.999785106629133e-07
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,16759215.0,16695383.0,80.0,5156.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16722965.0,16685376.0,443.0,40443.0,1.00000761449337e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4157.0,-3.5820615669956224,-1.0,1.0,16660464.0,16744973.0,15432.0,443.0,-1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16689780.0,16719201.0,44854.0,443.0,2.00001522898674e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16753036.0,16693943.0,443.0,7146.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16715021.0,16649036.0,443.0,48851.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16667466.0,16770334.0,60347.0,443.0,4.0000013541430235e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,4343.0,-3.4806919725747947,1.0,-1.0,16720557.0,16648372.0,80.0,10386.0,2.9999937396496534e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,290.0,-3.5448967798714466,1.0,-1.0,16720557.0,16648372.0,80.0,10386.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,3683.0,-3.3194156793244045,-1.0,1.0,16706768.0,16741084.0,30984.0,80.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1868.0,-3.5799000948415,-1.0,1.0,16692236.0,16759405.0,3299.0,443.0,9.999785106629133e-07
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16679693.0,16727473.0,36795.0,443.0,0.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2423.0,-3.580069031559332,-1.0,1.0,16698592.0,16757527.0,47495.0,443.0,2.00001522898674e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16703485.0,16757180.0,3112.0,80.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16682658.0,16733162.0,23036.0,80.0,1.00000761449337e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,3641.0,-3.581816799641637,1.0,-1.0,16727234.0,16661147.0,443.0,17081.0,-1.00000761449337e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.5803396268811523,1.0,-1.0,16761366.0,16702420.0,443.0,31902.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16661049.0,16726366.0,16561.0,443.0,9.999785106629133e-07
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16757345.0,16698488.0,443.0,1229.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,36.0,0.0,0.0,1.0,-1.0,16764931.0,16665520.0,80.0,54930.0,1.00000761449337e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1868.0,-3.577972567869842,-1.0,1.0,16707143.0,16772260.0,62294.0,443.0,1.9999861251562834e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16677265.0,16757397.0,1328.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16700532.0,16738282.0,57874.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16653637.0,16750109.0,38008.0,443.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,4343.0,-3.479658447223376,1.0,-1.0,16716896.0,16699298.0,80.0,6708.0,4.0000013541430235e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16738394.0,16672367.0,443.0,28284.0,9.999785106629133e-07
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,290.0,-3.559583078078344,1.0,-1.0,16716896.0,16699298.0,80.0,6708.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.580118392006254,1.0,-1.0,16735846.0,16706672.0,443.0,55421.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16744973.0,16660464.0,443.0,15432.0,1.00000761449337e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4106.0,-3.583687973326334,-1.0,1.0,16662511.0,16729471.0,63377.0,443.0,-1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16646713.0,16756563.0,46528.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16664945.0,16766275.0,56275.0,80.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16697912.0,16712923.0,2716.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16667391.0,16772443.0,60419.0,443.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.575986755485524,1.0,-1.0,16766288.0,16707411.0,443.0,56289.0,1.9999861251562834e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16649316.0,16714433.0,4225.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16693943.0,16753036.0,7146.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16695383.0,16759215.0,5156.0,80.0,1.00000761449337e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2768.0,-3.582294208426175,1.0,-1.0,16775856.0,16710739.0,443.0,1381.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16715609.0,16649570.0,443.0,5413.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16691487.0,16759929.0,49920.0,443.0,9.999785106629133e-07
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16666281.0,16732287.0,60039.0,443.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16723558.0,16657548.0,443.0,34893.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,4343.0,-3.4806919725747947,1.0,-1.0,16732651.0,16660713.0,80.0,60408.0,2.9999937396496534e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,16714346.0,16701530.0,80.0,48179.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,16741084.0,16706768.0,80.0,30984.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,290.0,-3.5448967798714466,1.0,-1.0,16732651.0,16660713.0,80.0,60408.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16760438.0,16703368.0,443.0,30961.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16773593.0,16661862.0,443.0,19594.0,9.999785106629133e-07
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4157.0,-3.581682618556309,-1.0,1.0,16688239.0,16753356.0,5423.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16700103.0,16711664.0,1458.0,80.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16710333.0,16768053.0,28363.0,80.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.5775593572396525,1.0,-1.0,16751346.0,16684395.0,443.0,11593.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,36.0,0.0,0.0,-1.0,1.0,16700967.0,16764404.0,32892.0,80.0,9.999785106629133e-07
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,2771.0,-3.5813793122460544,1.0,-1.0,16723449.0,16658196.0,443.0,35142.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16760940.0,16702099.0,443.0,50919.0,2.00001522898674e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16687753.0,16723939.0,35284.0,80.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16774950.0,16709834.0,443.0,64984.0,1.9999861251562834e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,36.0,0.0,0.0,1.0,-1.0,16725736.0,16653782.0,80.0,37081.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16738282.0,16700532.0,443.0,57874.0,4.0000013541430235e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,4106.0,-3.5840607434348795,-1.0,1.0,16662272.0,16729238.0,19149.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16661147.0,16727234.0,17081.0,443.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16680104.0,16747258.0,37200.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16759929.0,16691487.0,443.0,49920.0,1.00000761449337e-06
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1868.0,-3.5778903060699703,-1.0,1.0,16693385.0,16758516.0,48505.0,443.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,16686658.0,16728728.0,18581.0,80.0,1.00000761449337e-06
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16672367.0,16738394.0,28284.0,443.0,0.0
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,1.0,-1.0,16772260.0,16707143.0,443.0,62294.0,9.999785106629133e-07
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,16654827.0,16719944.0,9757.0,443.0,1.00000761449337e-06
-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,1.0,-1.0,16759215.0,16695383.0,80.0,5156.0,1.00000761449337e-06
-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,32.0,1199.0,-3.5770647233948165,1.0,-1.0,16755600.0,16650914.0,443.0,7674.0,9.999785106629133e-07
