subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7078491407623417,-1.0,1.0,165814368.0,133173248.0,62027.0,53.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7078491407623417,-1.0,1.0,165814368.0,133172224.0,62027.0,53.0,0.9931079999999994
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.8204057126194924,1.0,-1.0,133172224.0,165814368.0,53.0,62027.0,0.000990999999999076
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7606469622128547,-1.0,1.0,165814368.0,133172224.0,63349.0,53.0,0.0005100000000002325
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,70.0,185.0,-2.8106864366312325,1.0,-1.0,133172224.0,165814368.0,53.0,63349.0,0.0008750000000006253
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49158.0,443.0,469.621151
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49158.0,443.0,3.0059719999999857
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,28.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49158.0,443.0,5.9982650000000035
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7237861751627057,-1.0,1.0,165814368.0,133173248.0,54955.0,53.0,5.7216209999999705
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.828365657567749,1.0,-1.0,133173248.0,165814368.0,53.0,54955.0,0.016089000000022224
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.779578035033983,-1.0,1.0,165814368.0,133173248.0,63886.0,53.0,0.0007069999999771426
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,70.0,185.0,-2.817956587809322,1.0,-1.0,133173248.0,165814368.0,53.0,63886.0,0.0008890000000292275
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49159.0,443.0,5.256664999999998
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,32.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49159.0,443.0,3.0046629999999936
1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,28.0,0.0,0.0,-1.0,1.0,165814368.0,1410544648.0,49159.0,443.0,5.998118000000034
