subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7078491407623417,-1.0,1.0,165814368.0,133173248.0,62027.0,53.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7078491407623417,-1.0,1.0,165814368.0,133172224.0,62027.0,53.0,1.0006639999999987
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,165814262.0,165814368.0,-1.0,-1.0,0.00017700000000075988
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7078491407623417,-1.0,1.0,165814368.0,133172224.0,62027.0,53.0,1.0009490000000003
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.811118123546289,1.0,-1.0,133172224.0,165814368.0,53.0,62027.0,0.02025899999999936
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7606469622128547,-1.0,1.0,165814368.0,133172224.0,63349.0,53.0,0.0006789999999998741
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,70.0,185.0,-2.789165711793634,1.0,-1.0,133172224.0,165814368.0,53.0,63349.0,0.0010000000000012221
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,39.0,92.0,-2.665767519641084,-1.0,1.0,165814368.0,133173248.0,54955.0,53.0,69.18340900000001
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,104.0,287.0,-3.047526518559703,1.0,-1.0,133173248.0,165814368.0,53.0,54955.0,0.02177399999999352
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.7823803762521826,1.0,1.0,165814368.0,165814515.0,137.0,137.0,0.0004849999999976262
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,165814262.0,165814368.0,-1.0,-1.0,0.0001869999999968286
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.7823803762521826,1.0,1.0,165814368.0,165814515.0,137.0,137.0,0.7426170000000099
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,165814262.0,165814368.0,-1.0,-1.0,0.00025199999998903877
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.7823803762521826,1.0,1.0,165814368.0,165814515.0,137.0,137.0,0.7516750000000059
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,165814262.0,165814368.0,-1.0,-1.0,0.00020399999999654028
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.8437302772228623,-1.0,1.0,165814368.0,133173248.0,63886.0,53.0,0.7511719999999968
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.110181792163501,1.0,-1.0,133173248.0,165814368.0,53.0,63886.0,0.020386000000002014
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.820840817202688,-1.0,1.0,165814368.0,133173248.0,59980.0,53.0,0.001093000000011557
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.0969509601095413,1.0,-1.0,133173248.0,165814368.0,53.0,59980.0,0.0012609999999995125
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.783749866429363,-1.0,1.0,165814368.0,133173248.0,61537.0,53.0,0.0011449999999939564
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.0973216651579243,1.0,-1.0,133173248.0,165814368.0,53.0,61537.0,0.021106000000003178
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.853199233877349,-1.0,1.0,165814368.0,133173248.0,57399.0,53.0,0.0014170000000035543
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.1203769230535627,1.0,-1.0,133173248.0,165814368.0,53.0,57399.0,0.0014629999999868915
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.8123779164871103,-1.0,1.0,165814368.0,133173248.0,60367.0,53.0,0.0012490000000013879
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.084882826894576,1.0,-1.0,133173248.0,165814368.0,53.0,60367.0,0.02127300000000787
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7873606280762626,-1.0,1.0,165814368.0,133173248.0,62963.0,53.0,0.0012849999999957618
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.0821102459641456,1.0,-1.0,133173248.0,165814368.0,53.0,62963.0,0.0013069999999970605
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7756328459498167,-1.0,1.0,165814368.0,133173248.0,57730.0,53.0,0.0014280000000042037
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.092695910794818,1.0,-1.0,133173248.0,165814368.0,53.0,57730.0,0.02056500000000483
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.6848522695085406,-1.0,1.0,165814368.0,133173248.0,65327.0,53.0,0.0011179999999910706
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.068613669460222,1.0,-1.0,133173248.0,165814368.0,53.0,65327.0,0.02154200000001083
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.7482117044659957,-1.0,1.0,165814368.0,133173248.0,61806.0,53.0,0.0012459999999947513
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,107.0,296.0,-3.0895614355277234,1.0,-1.0,133173248.0,165814368.0,53.0,61806.0,0.021433999999999287
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.890341312337875,-1.0,1.0,165814368.0,133173248.0,63353.0,53.0,0.00130500000000211
