subnetSrc,subnetDst,broadcastDst,TLS,TCP,UDP,HTTP,HTTPS,hdrLen,appLen,appEntropy,commonSrc,commonDst,IPsrc,IPdst,srcPrt,dstPrt,time_dif
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548450.0,3714228022.0,-1.0,-1.0,0.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548450.0,3714228022.0,-1.0,-1.0,6.103515625e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,997.0,2966.0,-3.216510617988413,-1.0,-1.0,3194548450.0,3979595275.0,49152.0,3702.0,0.013746976852416992
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,997.0,2966.0,-3.216510617988413,-1.0,-1.0,3194548450.0,3979595275.0,49152.0,3702.0,6.29425048828125e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.6930594123135942,-1.0,1.0,3194548450.0,133173248.0,58576.0,53.0,0.017965078353881836
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.6930594123135942,-1.0,1.0,3194548450.0,133173248.0,58576.0,53.0,2.6941299438476562e-05
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,58.0,149.0,-2.773430262202926,1.0,-1.0,133173248.0,3194548450.0,53.0,58576.0,0.04869508743286133
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.768823912982693,-1.0,1.0,3194548450.0,133173248.0,63613.0,53.0,0.0007088184356689453
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.0,101.0,-2.768823912982693,-1.0,1.0,3194548450.0,133173248.0,63613.0,53.0,3.0040740966796875e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,997.0,2966.0,-3.216510617988413,-1.0,-1.0,3194548450.0,3979595275.0,49152.0,3702.0,0.0385589599609375
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,997.0,2966.0,-3.216510617988413,-1.0,-1.0,3194548450.0,3979595275.0,49152.0,3702.0,0.00013899803161621094
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,70.0,185.0,-2.8161658914578784,1.0,-1.0,133173248.0,3194548450.0,53.0,63613.0,0.010951995849609375
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,0.14542317390441895
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,0.0001380443572998047
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548450.0,3714228022.0,-1.0,-1.0,0.19295501708984375
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548450.0,3714228022.0,-1.0,-1.0,0.0001068115234375
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,322.0,941.0,-3.2996384161963417,-1.0,-1.0,3194548201.0,3194548450.0,1901.0,51630.0,0.7996470928192139
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548450.0,3194548201.0,49163.0,80.0,0.05268692970275879
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548450.0,3194548201.0,49163.0,80.0,3.0040740966796875e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,1.9516699314117432
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,2.5033950805664062e-05
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,322.0,941.0,-3.2996384161963417,-1.0,-1.0,3194548201.0,3194548450.0,1901.0,51630.0,0.0020101070404052734
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,0.03860902786254883
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,9.989738464355469e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,0.030488014221191406
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,141.0,398.0,-3.2736758632620693,-1.0,-1.0,3194548450.0,3979595275.0,51630.0,1900.0,9.489059448242188e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,632.0,1871.0,-3.2175524487614253,-1.0,-1.0,3194548450.0,3979595275.0,63614.0,3702.0,0.7635211944580078
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,632.0,1871.0,-3.2175524487614253,-1.0,-1.0,3194548450.0,3979595275.0,63614.0,3702.0,2.5987625122070312e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,632.0,1871.0,-3.2175524487614253,-1.0,-1.0,3194548450.0,3979595275.0,63614.0,3702.0,0.10807681083679199
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,632.0,1871.0,-3.2175524487614253,-1.0,-1.0,3194548450.0,3979595275.0,63614.0,3702.0,6.508827209472656e-05
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,322.0,941.0,-3.2996384161963417,-1.0,-1.0,3194548201.0,3194548450.0,1901.0,51630.0,0.09249711036682129
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,322.0,941.0,-3.2996384161963417,-1.0,-1.0,3194548201.0,3194548450.0,1901.0,51630.0,0.0009539127349853516
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548450.0,3194548201.0,49163.0,80.0,0.0047550201416015625
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,32.0,0.0,0.0,-1.0,1.0,3194548450.0,3194548201.0,49163.0,80.0,7.104873657226562e-05
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548451.0,3714228022.0,-1.0,-1.0,0.008954048156738281
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3194548451.0,3714228022.0,-1.0,-1.0,9.894371032714844e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,996.0,2963.0,-3.216484951901098,-1.0,-1.0,3194548451.0,3979595275.0,49152.0,3702.0,0.0011348724365234375
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,996.0,2963.0,-3.216484951901098,-1.0,-1.0,3194548451.0,3979595275.0,49152.0,3702.0,5.0067901611328125e-05
1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,664.0,1967.0,-3.2025549901388417,-1.0,-1.0,3194548450.0,3979595275.0,63616.0,3702.0,0.052082061767578125
